id,true_corr,pred_corr,loss
pozudrqy,0.3307126,0.22895059,0.101762
amkifedz,0.35162586,0.14456698,0.20705888
rhymvovr,0.5826453,0.45623335,0.12641194
stxplmxa,0.62389445,0.49067926,0.13321519
jxtdafhz,-0.27455023,-0.16114956,0.11340067
gkjlgfby,0.56257844,0.43871862,0.12385982
gzjdouiy,0.36753443,0.14307022,0.22446421
ogmrnhdn,0.027383782,0.18628678,0.158903
fvhccntq,-0.5109533,-0.37254423,0.13840908
bhtvfgnu,0.4716164,0.58318245,0.11156607
kdpfvxad,0.115847304,-0.00043115765,0.11627846
cjxvhtlr,-0.25307938,-0.051753923,0.20132546
pzxawjah,0.6762387,0.5442067,0.13203204
conxpagc,-0.077740274,-0.18294102,0.105200745
pdtnzser,-0.044284634,-0.17682469,0.13254005
rgmglmpn,-0.54037625,-0.4332496,0.10712665
lghjskia,-0.09414933,0.041367456,0.13551679
rhfmmzlq,-0.06995401,0.04365895,0.11361296
qgqgeiwr,0.73218316,0.60463667,0.12754649
blvzhwdy,0.63844246,0.52313435,0.115308106
qcmsyzpb,0.6160073,0.49418724,0.12182009
keaebxev,0.12417724,-0.021450453,0.14562769
awdvftgn,-0.4272336,-0.22724265,0.19999096
aoxyljft,-0.30486256,-0.08311144,0.22175112
gctforgg,0.9122972,0.76261306,0.14968413
lecroayw,0.18037975,0.050893687,0.12948605
oalrcbww,0.3983749,0.1873194,0.21105549
apuvvszq,0.43381843,0.3317505,0.10206792
spsonytq,-0.0094966395,-0.17174432,0.16224767
olkwrtmq,0.4473186,0.34730822,0.100010395
orxumnba,-0.21862957,-0.11345085,0.10517872
ohvmpisx,0.4653253,0.5907049,0.12537962
tgnmwezj,-0.4505296,-0.3457545,0.1047751
nqvadzyi,-0.32518986,-0.22257519,0.10261467
pomeisjh,0.38856152,0.28515762,0.103403896
mvlnrygw,-0.2521976,0.006322615,0.25852022
jfdklebv,0.5519774,0.3814319,0.17054549
nodwcmyz,-0.4202808,-0.23610812,0.18417269
pztoilac,0.45087695,0.32236332,0.12851363
bwmslpwk,-0.47014496,-0.3613561,0.10878885
mxneiljc,0.08761439,-0.03288316,0.12049755
hqgcaqva,0.46154758,0.30023834,0.16130924
mgzmlyyx,-0.579731,-0.42585516,0.15387583
olaxgukk,0.929328,0.82457054,0.10475749
chpumovb,0.62629634,0.48608887,0.14020747
fnzqaswa,-0.49231738,-0.6146888,0.122371435
svozevnw,0.83339137,0.969001,0.13560963
jashmraz,0.34842828,0.46403855,0.11561027
qwriifpc,0.8406307,0.68596834,0.15466237
itdlqddt,-0.9846474,-0.87058187,0.11406553
nxytsnvf,-0.34398174,-0.1339747,0.21000704
tdzpuxvu,0.4666499,0.58353585,0.11688596
jheuuler,0.7865159,0.8948491,0.10833323
ivhhrdhb,-0.70352554,-0.57898766,0.124537885
fqgtxoyn,0.314685,0.18266866,0.13201633
tlbmktjw,0.13101974,0.026138492,0.10488125
qalfoznp,0.11794732,-0.0750762,0.19302352
hocopfln,0.6648983,0.55448276,0.11041552
gdjsutxl,0.40422103,0.5270363,0.12281528
bvlzgceb,-0.5848882,-0.4823996,0.10248861
iaqxxcug,0.2090497,0.0771113,0.1319384
esgdrldr,0.18573056,0.053976066,0.13175449
lywfxupm,-0.2686733,-0.16564375,0.10302955
ddplcpas,0.943096,1.0981131,0.15501708
smeqsfci,0.1819894,0.05050788,0.13148153
smploqll,0.25487483,0.37064,0.115765184
czbwqmmv,-0.0038046518,-0.10468907,0.100884415
bveepmpu,-0.11156635,-0.22551218,0.11394583
pfstqiza,-0.1034336,0.06159298,0.16502658
dradqjoj,0.7484512,0.85895747,0.110506296
qfljvprv,-0.6216716,-0.44220924,0.17946237
cmxqnnqu,-0.47335044,-0.27088037,0.20247006
ggclvigy,0.14991817,0.010725953,0.13919222
jcnzlesv,0.2700449,0.07887737,0.19116753
dyafidtg,0.18085976,-0.01866173,0.19952148
kmlrfeip,0.7823949,0.662882,0.119512916
qbuvfpuh,0.50936663,0.3768083,0.13255835
qszzaewt,0.7431821,0.5645118,0.17867035
ivjwdouh,0.39504185,0.25748247,0.13755938
qitbudao,-0.2738556,-0.16873184,0.10512376
lgmjlvva,-0.55605507,-0.4464395,0.109615564
mvbuutgp,-0.032866105,-0.16298184,0.13011573
htpburmi,0.53715914,0.38402224,0.15313691
jjkxdfch,-0.24130562,-0.109054916,0.1322507
jncflcxl,0.20405081,0.10375152,0.10029929
hvtttatp,0.9714889,0.8584007,0.11308819
cvnagybz,0.30508453,0.17500746,0.13007706
tjzyjjmu,-0.48158008,-0.34292188,0.1386582
gogwaghp,-0.24206245,-0.13777614,0.10428631
hmphctwu,0.60117745,0.49186426,0.10931319
bzzctpse,0.27838138,0.14945138,0.12893
ojdmysuf,0.6290411,0.47179288,0.1572482
aougbjcx,-0.6234332,-0.5066521,0.116781056
skqmxnhm,-0.78071564,-0.6560923,0.12462336
rollwetr,0.71976036,0.81983995,0.100079596
ghnhxean,-0.05217086,0.10739244,0.1595633
nxrpjvza,-0.48612934,-0.2820611,0.20406824
sgjatasl,-0.65744543,-0.52996176,0.12748367
phpcxcwi,-0.14810063,-0.2687973,0.12069668
kajtypah,-0.13569511,-0.24260244,0.10690732
osjqrzcp,0.5903925,0.48536706,0.10502541
ossoivdw,-0.23840384,-0.34194362,0.10353978
izjqbtzd,0.24109228,0.020024769,0.22106752
jtgjlxiq,0.6129403,0.49722266,0.11571765
psssgzoy,0.28184506,0.16690099,0.11494407
pfjucmjk,-0.2551578,-0.13043204,0.12472576
mfeapdul,0.8252278,0.7241414,0.10108638
kuvhqesx,-0.27326795,-0.3813051,0.108037144
mauikmfg,-0.0902147,-0.19643617,0.10622147
jxcdrfns,0.7544028,0.50362873,0.2507741
prtirkyp,-0.05752495,0.11199436,0.1695193
qrzssssg,0.5309335,0.39185628,0.13907722
hiebaxfq,-0.1640934,-0.048595585,0.11549782
fsaskfyx,0.7067229,0.5995248,0.10719812
qnqoayfu,0.12221002,0.2223357,0.10012568
nftnumam,0.12800898,0.024179287,0.10382969
ewxnomyg,0.3075395,0.4214005,0.113860995
bsjxcfbv,-0.14841542,-0.003833197,0.14458221
iglqvhau,0.39727652,0.5006496,0.10337305
nykyoetr,-0.64874905,-0.3542871,0.29446197
grmukxon,0.5547526,0.40541804,0.14933455
kvlemvpd,-0.63078356,-0.5231595,0.107624054
pqflczrj,-0.1665267,0.058366917,0.22489363
osadddgy,0.5736921,0.46992674,0.10376534
arzqrgre,-0.7711311,-0.6647872,0.106343925
gkkpxhla,-0.59651804,-0.48723954,0.1092785
hcghccip,0.6231106,0.44641888,0.17669171
srlpxbbw,0.0129575385,0.13040942,0.117451884
hvycyhxz,-0.4163958,-0.3136888,0.102707
dmxjnpuk,0.87063676,0.72861654,0.14202023
kikiqgyr,0.51794726,0.4132235,0.10472375
lerbctht,0.34301093,0.2419903,0.101020634
omynaplb,-0.05090817,-0.16241449,0.11150632
pypzjlkv,-0.16596444,-0.009309553,0.1566549
kczfnsrl,-0.814216,-0.6817925,0.13242352
npfynixa,0.5282355,0.40395248,0.124283016
gkflefwg,0.7560877,0.60254556,0.15354216
snpkwnzn,-0.022197125,0.078729875,0.100927
amxeeqto,0.07916877,0.21835136,0.1391826
kqanjhzq,0.95543146,1.0560745,0.10064304
oozztuzl,-0.5037048,-0.3894019,0.11430287
bfadacjn,0.3469463,0.46246123,0.115514934
jwtomesy,0.36318195,0.24257565,0.1206063
pyvyntyo,0.34858394,0.24810117,0.10048276
thnlakmk,0.2817083,0.15680197,0.12490633
fzoddgjm,0.15096058,0.044252224,0.106708355
gkjmsaig,0.13989878,0.03614644,0.10375234
raeeuzea,0.10434736,-0.018405817,0.12275318
gdofshqb,0.56055814,0.4348281,0.12573004
epimzwfl,-0.5690797,-0.39188936,0.17719033
lmsuxxll,0.54761165,0.31889686,0.2287148
bpamgwmz,0.77369666,0.6598599,0.113836765
kkxtdnde,-0.1581644,-0.017299108,0.1408653
agpgianj,-0.1320808,-0.24456468,0.11248389
pshyquvt,0.86275536,0.7033556,0.15939975
eijqnkve,0.48974177,0.38532263,0.10441914
bcexenhy,-0.5033361,-0.39482677,0.1085093
gyfauxft,0.11334001,0.2249847,0.11164469
tghrzbiy,-0.6900043,-0.58237076,0.10763353
qhdmlfbf,-0.65239114,-0.31046706,0.34192407
bimswlzq,0.5104533,0.38353056,0.12692273
qetlwsqr,-0.22743276,0.036832847,0.2642656
rlmumxgf,0.22644582,0.12108461,0.105361216
fcfotjcv,-0.12566966,0.06448565,0.1901553
lvofxsbs,0.15891443,0.26502705,0.106112614
aieitckm,0.93575114,0.81317484,0.1225763
qiezirso,0.8622238,0.7247075,0.13751632
soxqokvs,-0.33251652,-0.23030373,0.10221279
hcrrygqz,0.5999015,0.48840368,0.11149782
irkapqsi,0.68914866,0.57213473,0.11701393
loqobiyn,-0.75700784,-0.6457046,0.11130321
szhaemiw,-0.18567638,-0.31342274,0.12774636
bmszsmwh,0.2942947,0.16578561,0.12850907
hpqrjxub,0.5317183,0.40248087,0.12923744
ctflyrus,0.5683883,0.4569122,0.11147609
qreybaho,-0.3865021,-0.28421813,0.102283955
kjojwwbz,-0.18055788,-0.036972664,0.1435852
qzqwsywu,0.045937687,-0.0720362,0.11797389
nwfmpjnf,0.7915895,0.6741538,0.117435694
ixthgfbd,-0.83731246,-0.66495126,0.1723612
bjtqgzdp,-0.92174935,-0.79784,0.123909354
aousghor,-0.045255784,0.09988425,0.14514004
cwftjsdb,-0.56013507,-0.6689373,0.10880226
pfwgwpqv,-0.08005705,0.11668075,0.1967378
jnvdqlkt,0.62345636,0.40888432,0.21457204
bxiqstke,0.68026537,0.7982042,0.11793882
itaxlfki,-0.05772403,0.11047695,0.16820097
qmfouwjm,0.7170558,0.6066125,0.110443294
rttovuwf,0.59446317,0.40927637,0.1851868
rhxubhdq,-0.8209828,-0.7149664,0.1060164
qnybjoew,-0.7573004,-0.6391856,0.11811477
hznfqgoj,0.26257494,0.15692386,0.10565108
dgqszgjz,0.9434406,0.8379036,0.105537
kdtfmign,0.6417784,0.75725293,0.11547452
mqemnuyz,0.52761716,0.4191004,0.10851675
rhclqlmr,-0.54202825,-0.38889408,0.15313417
spmvqntb,0.20065124,0.4140314,0.21338014
iuixiaxj,0.62653613,0.7273625,0.10082638
ksgzwdzw,-0.040892944,0.06875547,0.109648414
tknykrbq,-0.16711287,-0.048955016,0.118157856
ejdhocdw,-0.43119326,-0.32687804,0.10431522
pfxjkopv,0.6750913,0.5676151,0.107476234
cuakixll,-0.4212331,-0.27465546,0.14657763
ovopleec,-0.5059635,-0.33738527,0.16857824
kehpwqfc,-0.42718214,-0.2883138,0.13886833
gecyrzjr,-0.39589757,-0.2684291,0.12746847
pajfctte,0.6716896,0.5562803,0.115409315
ethycpkq,-0.66066337,-0.55543226,0.10523111
jqyvfboa,0.8647351,0.9712485,0.10651338
aiehkdzl,0.4825385,0.38141322,0.10112527
adaipbav,0.32111338,0.43412304,0.11300966
ambinhct,0.9248729,0.77520126,0.14967161
gfzmxdxa,0.6384791,0.74008894,0.101609826
klmvueol,-0.5403257,-0.41929224,0.12103346
qfjzsqeo,0.11291233,0.0027490333,0.110163294
nslfyncj,0.3390536,0.17366678,0.16538683
sozhkrxb,0.33018827,0.12033167,0.2098566
sagypujk,0.62151563,0.41125232,0.21026331
gtilcmmv,-0.06735041,0.046866745,0.114217155
lslwfjdy,0.6976576,0.5872397,0.1104179
dkmntksi,0.0060718865,-0.11408272,0.120154604
dclavbrc,-0.7011049,-0.57575774,0.12534714
cnvsicrf,0.19258316,-0.007926233,0.2005094
ncfjwnli,0.3647611,0.2047711,0.15999001
laooveet,0.5799953,0.47401738,0.10597789
cawjnthy,-0.4318675,-0.55504155,0.12317404
qschtopj,0.89000076,0.75656456,0.1334362
dreopxzl,-0.315346,-0.20562702,0.10971898
nhpnsgdl,0.21255542,0.06537979,0.14717564
snhyuaup,-0.43140954,-0.2584414,0.17296815
gyvqdydw,-0.16395392,-0.042614758,0.12133916
jhnhljol,0.5744283,0.45839137,0.11603695
ssmemsjb,0.1038228,-0.034630798,0.1384536
cqdmjzky,-0.46667147,-0.3430763,0.12359518
ppmubkai,0.41902423,0.27923864,0.13978559
jbpwatzb,-0.36714265,-0.26090083,0.10624182
dnyqtpsz,-0.46421057,-0.28797248,0.17623809
efdbnpgm,-0.2856538,-0.16408429,0.121569514
opcweyoc,0.7335074,0.62060165,0.11290574
gxpiaauq,-0.4532661,-0.30280703,0.15045908
pqvgqyhf,0.025679693,0.13674533,0.11106564
ngzlrips,-0.09193216,0.029753573,0.121685736
iaeufkul,0.83156097,0.9869964,0.15543544
pmqftwby,-0.66819495,-0.56393194,0.10426301
lrdmnvlg,0.19110753,0.3074199,0.11631237
sqkrdyho,0.2476258,0.08264398,0.16498181
bibonthc,-0.9062265,-0.8030611,0.10316539
gvocpshy,0.5802184,0.46946657,0.11075181
lzbjcbvk,0.90888983,1.020699,0.111809194
ednktidu,0.30745995,0.19706655,0.110393405
qldfxwar,0.49948633,0.38361955,0.11586678
fldnasgi,-0.9524369,-0.838184,0.114252925
pldnbwrp,0.23424456,0.120500214,0.11374434
dyjxuvny,0.6493476,0.52601945,0.12332815
qujljqgm,0.686977,0.5502051,0.13677192
nloovurx,0.22452764,0.12391833,0.10060931
oalnyogc,-0.061071787,-0.2038342,0.14276242
kvuibduz,-0.3752884,-0.19859323,0.17669517
mhpxeomh,0.059717834,0.21001565,0.15029782
kilyyybx,0.46464196,0.2773105,0.18733147
eemxwdbk,0.4791956,0.36563253,0.11356306
jihagxbe,0.37673104,0.23186761,0.14486343
cucpaxjv,0.23870502,0.04757058,0.19113445
tdllgoqi,0.51990277,0.4102205,0.10968226
sqqhktdy,0.44473118,0.34010303,0.104628146
eadncbtu,0.9394152,0.818976,0.12043923
njyslhwr,-0.6215945,-0.5118094,0.10978508
frmmqqhw,-0.38079152,-0.2549039,0.1258876
ewonlfjj,-0.5268467,-0.6416029,0.11475617
sjzdprxb,0.30841124,0.4156452,0.10723397
csdgtuej,0.4553225,0.31954926,0.13577324
hjntjohf,0.26509133,0.15266421,0.112427115
mxntkdrh,0.37087917,0.47885823,0.10797906
jzadjluz,0.6184344,0.51018476,0.108249664
rrdyjzmn,0.20259993,0.098306246,0.10429368
mjjhqjsa,-0.17410213,-0.07377682,0.10032531
oiuhoayw,-0.16837542,-0.040625982,0.12774944
onzltwww,0.7895025,0.670628,0.11887449
guorbdem,0.04383068,0.14745387,0.1036232
hpglqkzk,-0.91994137,-1.0664058,0.1464644
ldhpyihv,0.092796706,-0.01817792,0.110974625
jaylevln,0.9662067,1.07237,0.10616332
bkuzmqat,-0.8199004,-0.7034173,0.11648309
gezhyjfc,0.6987136,0.81915486,0.12044126
hhvnpksz,-0.053096157,-0.15652359,0.103427425
qdtifmnb,0.12117715,0.22182071,0.10064356
qbqtqpbv,0.84398496,0.7366663,0.10731864
dyrbepwq,-0.0046427175,-0.11750955,0.112866834
kxlhuzpg,-0.6808885,-0.5777753,0.103113174
nguywabt,-0.3259039,-0.19829494,0.12760895
hurqpwgq,0.48133212,0.23428181,0.24705032
auapoepp,-0.006439061,-0.10701016,0.1005711
owztdkvb,0.74906474,0.62832844,0.1207363
siosnees,-0.659608,-0.47279614,0.18681186
pzzxskap,0.22703187,0.3569241,0.12989222
baueopwt,-0.6408414,-0.4554543,0.18538713
dudttdaa,0.73751724,0.6212161,0.11630112
jhfinvhn,0.7817977,0.6802092,0.10158849
rgxnllqz,-0.4975064,-0.37382388,0.12368253
hpdniufc,0.64649796,0.5262963,0.12020165
nyxkwded,0.017262986,0.19620666,0.17894368
sdeeefwl,0.6384709,0.46410933,0.17436156
qnazkkuw,-0.34575012,-0.24567756,0.10007256
efwzbpfb,-0.73244804,-0.57188076,0.16056728
jnfohtlq,-0.31058,-0.18414417,0.12643582
qzhijnpg,-0.3335384,-0.22222975,0.111308664
bnbojbyv,0.490752,0.3899086,0.1008434
kmomknpb,-0.071526475,0.040597998,0.11212447
oqougjvp,-0.3201916,-0.43614992,0.11595833
ndsxxilg,-0.18857566,-0.014954485,0.17362118
isipabxg,-0.42772117,-0.26923174,0.15848944
jwnraglc,-0.37406376,-0.48723415,0.113170385
gnnualwe,0.26034957,0.13246393,0.12788564
ncglvdlm,0.34067893,0.21830845,0.12237048
rznkvwll,-0.23116988,-0.34487063,0.11370075
nsnnbvri,0.12843533,-0.00015934557,0.12859467
pjxeyamd,-0.20234479,-0.08370345,0.11864134
qpifeqil,0.21755376,0.110808395,0.10674537
hqqbugbp,0.43989918,0.5473545,0.10745534
qnrwzyvr,0.6746914,0.55686617,0.11782521
rczbhusm,0.5592374,0.44867548,0.11056194
rlbcavpn,-0.3738267,-0.17731085,0.19651586
huuhmfjg,-0.01388374,-0.11415883,0.10027509
jtqjrbma,0.35543415,0.25001508,0.10541907
dlmnbuek,-0.45972794,-0.34578162,0.11394632
mqmqqqiz,-0.27648818,-0.05669605,0.21979213
tllbvwzl,0.51162034,0.40530816,0.106312186
daftvfnb,-0.27698305,-0.17639253,0.10059053
swiabnsm,-0.2651046,-0.37255102,0.10744643
ekhtbjog,0.73871964,0.58351386,0.15520579
kuxiiflf,0.087122664,-0.03799712,0.12511978
fbqjunin,-0.708955,-0.5869167,0.122038305
ncrreftd,0.6199414,0.51028335,0.10965806
qtmvqqvb,-0.39245078,-0.22072706,0.17172372
lyyflczr,-0.45553824,-0.3518505,0.10368773
fjvwslan,0.591015,0.48711383,0.10390115
gyeunnyy,-0.01842542,-0.14741099,0.12898557
ghzuifcv,0.8332661,0.7143107,0.118955374
iuaeumtj,-0.066259414,0.041170403,0.10742982
hluqivqw,-0.35216418,-0.25080475,0.10135943
diypvfyk,0.5227305,0.42062908,0.102101445
fewndwzy,-0.030050036,-0.16100189,0.13095185
rlauonqx,0.49867648,0.36545974,0.13321674
ntmvpcwe,0.9227901,1.0528085,0.13001841
snwtnbfi,-0.07405863,0.027567126,0.101625755
kzokbvqp,0.7000873,0.59619826,0.10388905
awgpzvbr,0.5837864,0.4652779,0.11850852
pwuiidzr,-0.1552967,-0.25660798,0.10131128
ectevidz,0.8025201,0.6923918,0.11012828
cfuanaqa,0.30364344,0.15869433,0.14494911
oagmazud,-0.29207775,-0.18784711,0.10423064
rgroubzk,0.5138629,0.38678557,0.12707734
sdlrxtlq,0.53123987,0.42301232,0.10822755
nabftetg,-0.11169968,0.07005281,0.18175249
nyullnvo,0.4785506,0.35403425,0.12451637
mkyziufb,0.23199536,0.1290712,0.10292415
buklscgv,0.6381193,0.5324594,0.1056599
nnjtkrbe,-0.68643767,-0.583572,0.102865696
jkztkfdt,-0.29610905,-0.18637666,0.10973239
abtvqfqs,-0.74944323,-0.63288045,0.11656278
oxggwiey,-0.7207008,-0.61999726,0.10070354
opfzxviz,-0.7390015,-0.63097036,0.10803115
fijxfdtw,-0.23598106,-0.13010535,0.105875716
rcqwbbcf,0.5626391,0.3016711,0.26096803
cqryvchm,-0.72845477,-0.45527482,0.27317995
mpvhvuqh,0.74672186,0.61798865,0.12873322
khvvcfzh,0.82451576,0.7223486,0.10216719
ggcgaolf,-0.47272542,-0.31625172,0.1564737
acrtgbvn,0.66862386,0.5500397,0.118584156
axlhafwo,0.4811161,0.361772,0.119344085
jrntgvst,-0.23392706,-0.100523196,0.13340387
bgurnykf,-0.66381204,-0.5352136,0.12859845
gcrcljjs,-0.048223946,-0.18206945,0.13384551
rkpbeldf,0.4015449,0.23182836,0.16971654
kphzahfk,0.47056133,0.37004736,0.100513965
mnnenbgm,0.12653336,0.01694239,0.10959097
rjnxcmla,0.17839141,0.07260113,0.10579028
ebqvqtdi,-0.20544139,-0.06820863,0.13723275
ivmszjgp,0.37372854,0.2322433,0.14148524
lnrpxkxh,-0.38361982,-0.26003632,0.123583496
jyybpgpc,-0.4850457,-0.32443562,0.16061008
dpcekzhg,-0.30736017,-0.44010094,0.13274077
eairafzd,0.54563314,0.6576948,0.11206168
lvobnrry,-0.6208779,-0.44425112,0.1766268
nxrpjvza,-0.48612934,-0.37259915,0.11353019
jojioykq,-0.7591849,-0.650748,0.10843688
jcnzlesv,0.2700449,0.14794584,0.12209906
bgurnykf,-0.66381204,-0.45195326,0.21185878
hhymkeoy,-0.687477,-0.57453984,0.11293715
rwhjrobc,0.75967014,0.6382766,0.12139356
gxecdttz,-0.60774237,-0.49675882,0.11098355
dedustzj,0.663547,0.55062664,0.112920344
jqolzqjq,-0.69000864,-0.5640879,0.12592071
ambinhct,0.9248729,0.80734754,0.11752534
itdlqddt,-0.9846474,-0.8774643,0.1071831
fnwxbptw,-0.055735685,0.1525065,0.20824218
oserkrdo,0.08102615,0.19773416,0.11670801
aougbjcx,-0.6234332,-0.5088243,0.114608884
hurqpwgq,0.48133212,0.3336836,0.14764851
jyybpgpc,-0.4850457,-0.38461787,0.100427836
hnzlcecy,0.86015594,0.6914276,0.16872835
doghlvpz,-0.7307708,-0.60279447,0.12797636
jaylevln,0.9662067,1.0726705,0.10646373
ixthgfbd,-0.83731246,-0.62611806,0.2111944
bibonthc,-0.9062265,-0.7843207,0.1219058
oozztuzl,-0.5037048,-0.3906728,0.11303198
pubsbcia,0.9057906,0.8050071,0.10078353
lybrhlta,-0.31923658,-0.20834048,0.110896096
mngvtoae,-0.67224574,-0.55859214,0.1136536
qdmbkltv,-0.72873294,-0.6259136,0.10281932
rlbcavpn,-0.3738267,-0.19343652,0.1803902
hqgcaqva,0.46154758,0.31728935,0.14425823
awmynlof,0.8472221,0.94849265,0.10127056
rttovuwf,0.59446317,0.49264097,0.1018222
bmszsmwh,0.2942947,0.16501668,0.129278
jwrfouak,-0.58316976,-0.46497422,0.118195534
loqobiyn,-0.75700784,-0.60062367,0.15638417
lslwfjdy,0.6976576,0.5532276,0.14442998
bylsndmk,-0.6554821,-0.5548302,0.10065192
rcqwbbcf,0.5626391,0.4514477,0.11119142
sdeeefwl,0.6384709,0.5163057,0.1221652
nabftetg,-0.11169968,0.040653195,0.15235287
qzhijnpg,-0.3335384,-0.22837187,0.10516654
fqgtxoyn,0.314685,0.21113168,0.10355331
cvjeeehp,-0.46596822,-0.36112952,0.1048387
arzqrgre,-0.7711311,-0.6667573,0.10437381
fcfotjcv,-0.12566966,0.009654675,0.13532433
nodwcmyz,-0.4202808,-0.28578764,0.13449317
pffsajey,-0.670985,-0.541002,0.12998301
njyslhwr,-0.6215945,-0.51196474,0.10962975
klmvueol,-0.5403257,-0.41400892,0.12631679
owztdkvb,0.74906474,0.62572265,0.1233421
lqobztnz,-0.7844301,-0.6608481,0.123582006
qschtopj,0.89000076,0.77698594,0.11301482
cqryvchm,-0.72845477,-0.47332376,0.255131
kaorixbk,0.67953295,0.48163712,0.19789582
ebqvqtdi,-0.20544139,-0.09953044,0.10591094
pmqftwby,-0.66819495,-0.56747955,0.1007154
btwmyyma,-0.7050043,-0.5682919,0.13671237
ethycpkq,-0.66066337,-0.52850866,0.1321547
oxggwiey,-0.7207008,-0.5806888,0.14001203
qfljvprv,-0.6216716,-0.47242486,0.14924675
gcckuxca,-0.8433398,-0.743271,0.10006881
kvuibduz,-0.3752884,-0.14717911,0.22810929
kmlrfeip,0.7823949,0.6774038,0.10499108
kjpctzdj,-0.628693,-0.4763393,0.15235367
izhjbsgq,0.7891717,0.6595189,0.1296528
baueopwt,-0.6408414,-0.40631312,0.2345283
jxcdrfns,0.7544028,0.583662,0.17074084
ctflyrus,0.5683883,0.42533487,0.14305341
ndzbppyr,0.8603733,0.75280386,0.107569456
kczfnsrl,-0.814216,-0.6850841,0.12913191
aousghor,-0.045255784,0.089735135,0.13499092
mfeapdul,0.8252278,0.71431243,0.11091536
ddplcpas,0.943096,1.0586267,0.11553067
awdvftgn,-0.4272336,-0.2663703,0.16086331
dinywpze,-0.14238688,-0.03843912,0.10394776
gxpiaauq,-0.4532661,-0.31020492,0.14306119
neilosij,-0.40883797,-0.2592277,0.14961028
cnvsicrf,0.19258316,0.06548962,0.12709354
ikpuuoww,-0.6944879,-0.58765364,0.10683429
nyxkwded,0.017262986,0.1566713,0.13940832
glhmpehc,-0.08306642,-0.20281677,0.11975035
hsrlsmkw,-0.300987,-0.14119872,0.15978828
buebuugz,-0.6365861,-0.5210279,0.11555821
jjkxdfch,-0.24130562,-0.1297827,0.11152291
ljkpvgin,0.7024553,0.5988355,0.103619754
ggngopii,-0.93577546,-0.804919,0.13085645
cricfdwc,-0.6719102,-0.5241199,0.14779031
gkuhmtel,-0.46365795,-0.35642326,0.10723469
siosnees,-0.659608,-0.4595291,0.2000789
